Accession,Symbol.1,BioFraction,Channel,Genotype,Mixture,Subject,Residuals,Symbol
Q9JLM9,Grb14,0.891756834971455,0,6.55945751380543e-11,0.0117879403359388,0,0.0964552246270114,Grb14
Q9JLN9,Mtor,0.973462705749542,0,0.00385997153269723,0.0015887702565186,0,0.0210885524612424,Mtor
Q9JLQ0,Cd2ap,0.723340842303565,0,0,0.0550306292022075,0.0570923163017365,0.164536212192491,Cd2ap
Q9JLQ2,Git2,0.984117733452107,0.00249667733478464,0.000340739376591239,0.00242155581487199,0.00136826699312229,0.00925502702852235,Git2
Q9JLR1,Sec61a2,0.917042792434676,0,0,0.00729303777999545,0.00906224719611093,0.0666019225892177,Sec61a2
Q9JLT4,Txnrd2,0.972744466190212,0,0,0,0,0.0272555338097876,Txnrd2
Q9JLV1,Bag3,0.430063165971606,0,0.00606498117630651,0.135850255574428,0,0.428021597277659,Bag3
Q9JLV2,Trpc4ap,0.919175195960709,0,0.00672896297026718,0,0.00419691053946087,0.0698989305295635,Trpc4ap
Q9JLV5,Cul3,0.975149498362488,0.000488980758126467,0.00386196290723685,0.00153235059645589,0.000299000416756387,0.018668206958936,Cul3
Q9JLV6,Pnkp,0.950381917866196,0,0,0,1.88569581531455e-11,0.0496180821149472,Pnkp
Q9JLY7,Dusp14,0.744997083015581,0,0,0.0833898927677918,0.0452057507324854,0.126407273484142,Dusp14
Q9JLZ3,Auh,0.970813722832413,0,0,0.00625129962160644,0.00126211553094656,0.0216728620150343,Auh
Q9JM13,Rabgef1,0.845047937002054,0.0312288241791109,0.0247722622577691,0.0156763206559543,0,0.0832746559051114,Rabgef1
Q9JM14,Nt5c,0.919830654250209,9.04089662019345e-09,0.0003739611808396,0.0392987145383376,0,0.0404966609897172,Nt5c
Q9JM52,Mink1,0.987668480267349,7.87207355348525e-12,0.00119930495753257,0,0.00330830842682004,0.00782390634042683,Mink1
Q9JM62,Reep6,0.635470779137626,0,5.31889273680643e-10,0.0897101933099367,0.0540699466076656,0.220749080412882,Reep6
Q9JM63,Kcnj10,0.959329153328501,0,0,0.0021268017833541,0,0.0385440448881452,Kcnj10
Q9JM76,Arpc3,0.816653881965543,0.0186638627088758,0,0.0683755128123862,0,0.0963067425131954,Arpc3
Q9JM93,Arl6ip4,0.953688865797936,0,0,0,0,0.0463111342020636,Arl6ip4
Q9JM96,Cdc42ep4,0.897653103582307,0,0.00251779126022408,0.0396359177526854,0,0.0601931874047839,Cdc42ep4
Q9JMA1,Usp14,0.994815702772408,3.25776518838491e-08,0.000165888868651823,0,0,0.00501837578128844,Usp14
Q9JMB8,Cntn6,0.901716950549874,0,0,0.00579314361888324,0,0.0924899058312424,Cntn6
Q9JMC3,Dnaja4,0.822525816614682,0,0.0323225749798527,0,0.0251135154805172,0.120038092924948,Dnaja4
Q9JMC8,Epb41l4b,0.822034640369317,0,0.0081709280192789,7.67143118928966e-10,0.023169327392031,0.14662510345223,Epb41l4b
Q9JMD0,Zfp207,0.976101612913345,0,0,0.00542140996695072,0.00122929854273123,0.0172476785769733,Zfp207
Q9JMD3,Stard10,0.893767598288051,0,0,0,0,0.106232401711949,Stard10
Q9JME5,Ap3b2,0.972840506070778,0.00017451307166581,0.00160317335995375,0.00964343693489164,0.0068094360472992,0.00892893451541183,Ap3b2
Q9JME7,Trappc2l,0.914041164282484,0,0,2.21354872691642e-05,0,0.085936700230247,Trappc2l
Q9JME9,Vstm2b,0.733631828821091,0,0,0.0640138882974823,0.13546070988598,0.0668935729954463,Vstm2b
Q9JMF7,Dolpp1,0.911122172659235,0,0,0.000127718972275909,0.010129252150939,0.0786208562175496,Dolpp1
Q9JMG1,Edf1,0.989659382454213,0.00183693674975888,0.000398254440858578,0,0,0.00810542635516968,Edf1
Q9JMG3,Tmub1,0.935909151708655,0,0.0059295059194315,1.05815005494931e-11,0.0109627435509004,0.0471985988104317,Tmub1
Q9JMG7,Hdgfl3,0.948627450404113,0.000169046675960865,8.70371998590093e-11,0.0127991968918556,0.0118439494823705,0.0265603564586627,Hdgfl3
Q9JMH6,Txnrd1,0.944208393797422,0,0.0174315376035536,0,0,0.038360068599024,Txnrd1
Q9JMH7,Neu3,0.844305806160509,1.13058283587729e-10,0.00707210252680696,0.00154084601553005,1.47411307521064e-10,0.147081245036684,Neu3
Q9JMH9,Myo18a,0.986122706898067,0.000992618883249683,0.000496510955697762,0,0.00100651985010428,0.0113816434128811,Myo18a
Q9JMI0,Ecel1,0.500061441043558,0.0401999342326225,0,0,0.324117259456053,0.135621365267767,Ecel1
Q9JMK2,Csnk1e,0.946629838722562,0,0,0.010471260231102,0,0.0428989010463356,Csnk1e
Q9NWG9,Mageh1,0.936787798309622,0,0,0.00310275472544467,0.000742238807683381,0.0593672081572497,Mageh1
Q9QUG9,Rasgrp2,0.63066781451236,0.00904697753734708,0,0.0132041532403586,0.251209951360275,0.0958711033496597,Rasgrp2
