Protein,Symbol,Entrez,Mixture,Genotype,BioFraction,Residuals,R2.fixef,R2.total
Q9JJC6,Rilpl1,75695,0.061128792307373,0.012247164106363,0.806911309180991,0.119712734405273,0.803773651854327,0.866304128872809
Q8R0X7,Sgpl1,20397,0.00984043674431051,0.0122233822537831,0.92165884315806,0.0562773378438459,0.930101184802654,0.939463845046167
P52194,Clgn,12745,0.101478830247381,0.0121799167302348,0.639601411712852,0.246739841309533,0.641611447684189,0.7486502242274
P15208,Insr,16337,0,0.0121715521239499,0.955127369861831,0.0327010780142196,0.965440099856495,0.965440099856495
P62484,Abi2,329165,0.0109243128780682,0.0121336415926657,0.914450510160367,0.062491535368899,0.928719155480094,0.939631114136192
Q8VEB3,Macir,52392,0.00245689752966327,0.012113857177606,0.94077729281625,0.0446519524764805,0.957472721527148,0.960173794251393
P26645,Marcks,17118,0.0470983040333642,0.0121042557424721,0.787670491190287,0.153126949033876,0.805130485302681,0.853747382931915
Q91YQ5,Rpn1,103963,0,0.0120961675631872,0.968240640604088,0.0196631918327246,0.981202837474778,0.981202837474778
P29595,Nedd8,18002,0.00959197460027269,0.0120778696151604,0.827032820693511,0.151297335091056,0.832091428217922,0.840368925746016
P49710,Hcls1,15163,0.0656847646272814,0.0120614857533245,0.708056666670829,0.214197082948565,0.697547692768495,0.762901812111122
Q8BG51,Rhot1,59040,0.00709367464254309,0.0120590022007434,0.934010603350844,0.0468367198058695,0.941421894519689,0.947993611721312
P14873,Map1b,17755,0.00429766032792094,0.0120462739803915,0.977491667337886,0.00616439835380179,0.989432780327096,0.99368293655301
P21460,Cst3,13010,0.0831585952584523,0.0120186723007447,0.831142616070402,0.0736801163704014,0.8335671607206,0.922746330077177
E9Q555,Rnf213,672511,0.00399836932307899,0.0120131899112298,0.971642899858224,0.0123455409074669,0.983641359072782,0.987588178336465
Q791T5,Mtch1,56462,0.00685142887903944,0.0120002066034713,0.947278528501428,0.0338698360160611,0.963891480106503,0.97100590100345
Q80UZ2,Sdad1,231452,0.23783247295485,0.0119878665154952,0.396981533372998,0.353198127156657,0.4142144156591,0.682096800596131
Q91YU8,Ppan,235036,0.0258683172889529,0.0119860494375476,0.85714796473816,0.104997668535339,0.872015288937248,0.898115195887759
Q9QZS8,Sh2d3c,27387,0.128309534122228,0.0119716605699662,0.574719184458432,0.284999620849374,0.61048506354739,0.752834149312299
Q9EQH2,Erap1,80898,0,0.0119716043520582,0.914615511542106,0.0734128841058361,0.919902178134345,0.919902178134345
Q3URE9,Lingo2,242384,0.0291952064291602,0.0119567100750565,0.621985813880984,0.336862269614799,0.637084176628925,0.664037031470544
Q6ZPR4,Kcnt1,227632,0,0.0119499181612847,0.944505318135375,0.0435447637033399,0.960699404854556,0.960699404854556
Q9QY40,Plxnb3,140571,0.146527769295949,0.0119181956371047,0.717523802845191,0.124030232221755,0.729488632573607,0.895968289030419
A2ALS5,Rap1gap,110351,0.0194786811439685,0.0118996633609941,0.906653627368955,0.0619680281260823,0.912404148959869,0.93136938024906
Q9QXS6,Dbn1,56320,4.68815931230375e-10,0.0118875664171984,0.525702614638004,0.462409818475982,0.577198291842515,0.577198291842515
