protein,symbol,entrez,contrast,log2FC,percentControl,Pvalue,FDR,Padjust,Tstatistic,SE,DF,isSingular
Q810B6,Ankfy1,11736,Mutant-Control,-0.00866365250537804,0.994012808784527,0.643704861948167,0.862855991646453,1,-0.466680899018032,0.0185644034791389,33.9999838678909,FALSE
Q810B7,Slitrk5,75409,Mutant-Control,-0.0150782316216533,0.989602992720664,0.719075717277575,0.895498162746928,1,-0.362697748667879,0.0415724433830452,34.0000345486257,FALSE
Q810B8,Slitrk4,245446,Mutant-Control,0.0153108387608674,1.01066917879002,0.766203522408312,0.917029934835922,1,0.299735811492955,0.0510811126792143,34.0000252232725,FALSE
Q810B9,Slitrk3,386750,Mutant-Control,0.0260871810233709,1.0182467298228,0.789649542081222,0.927019502132703,1,0.26894284612161,0.0969989772904198,32.9700234006884,FALSE
Q810C0,Slitrk2,245450,Mutant-Control,0.0488008897036512,1.0344048106243,0.242974469954944,0.56445751118399,1,1.20313203750168,0.0405615411962487,20.0000217318168,FALSE
Q810C1,Slitrk1,76965,Mutant-Control,-0.00327160884430633,0.997734862857428,0.919282325762657,0.975464282419934,1,-0.102093351586992,0.032045268310333,34.0000795610911,FALSE
Q810D6,Grwd1,101612,Mutant-Control,0.0928393405189745,1.06646701174177,0.428954481963158,0.733609911990092,1,0.84801743344969,0.109478103700426,6.00000184135952,FALSE
Q810J8,Zfyve1,217695,Mutant-Control,0.0573877448659506,1.04057989962994,0.148620531450123,0.446915943231166,1,1.47796992373925,0.0388287636603321,34.0000420737871,FALSE
Q810L3,Chfr,231600,Mutant-Control,-0.171508340779646,0.887913879841134,0.33108681539431,0.648022034336338,1,-1.05726921770695,0.162218229668712,6.00000071842519,FALSE
Q810S1,Mcub,66815,Mutant-Control,0.381046399518008,1.30228607262309,0.020054198419441,0.14239146025346,1,2.57377172546539,0.148049804008592,16.4903688813674,FALSE
Q810U3,Nfasc,269116,Mutant-Control,0.00157410570423178,1.00109168238268,0.901759543417447,0.970169003739281,1,0.124363878667464,0.0126572580487037,33.9997328377278,FALSE
Q810U4,Nrcam,319504,Mutant-Control,0.0411594713577808,1.0289404377225,0.0310024791414973,0.185387031346817,1,2.25042013243781,0.0182896832304793,34.0002595312397,FALSE
Q810U5,Ccdc50,67501,Mutant-Control,-0.0646104098379094,0.956203499101891,0.0861193268181224,0.332853308968909,1,-1.7675004845223,0.0365546772992096,34.0000427172508,FALSE
Q811B1,Xylt1,233781,Mutant-Control,0.195939908354497,1.14547018545568,0.00980913357420964,0.0922015486234436,1,2.73616735286995,0.0716110833458255,34.000012047778,FALSE
Q811C2,Atg4c,242557,Mutant-Control,-0.136341961437272,0.909823143499238,0.00492016034083528,0.0593790869844106,1,-3.16047175996902,0.0431397499462575,20.0000260328386,FALSE
Q811D0,Dlg1,13383,Mutant-Control,-0.0408096911431048,0.972109212440688,0.07580622299283,0.31118345517143,1,-1.83145807065732,0.0222826237722483,34.0001908227237,FALSE
Q811G0,Bbs9,319845,Mutant-Control,0.00950315417561942,1.00660882707831,0.851791318300131,0.953200347439104,1,0.188260873640387,0.0504786469533346,34.0000079819863,FALSE
Q811I0,Atpaf1,230649,Mutant-Control,0.0319121950611176,1.02236630571814,0.302960012135554,0.62346709538975,1,1.04595765177405,0.0305100259145207,34.0000507048995,FALSE
Q811J3,Ireb2,64602,Mutant-Control,0.0197831631396772,1.01380709327594,0.82153192805439,0.939510061410364,1,0.227325680764351,0.0870256412436955,34.0000083409787,FALSE
Q811L6,Mast4,328329,Mutant-Control,0.0219088273218162,1.0153019357347,0.672377964843121,0.87513182914565,1,0.426574799885521,0.0513598724718287,34.0000605041986,FALSE
Q811P8,Arhgap32,330914,Mutant-Control,-0.0848215428787604,0.942901162797583,0.00376432854184195,0.0492873781403557,1,-3.11081713120991,0.0272666438755821,34.0001873804244,FALSE
Q811Q9,Pcyt1b,236899,Mutant-Control,0.0344896241813935,1.02419443421898,0.420922308356539,0.727124818732508,1,0.814685537619022,0.0423348919169376,34.0000431302401,FALSE
Q811U4,Mfn1,67414,Mutant-Control,-0.0469372173328893,0.967989150569606,0.447877809752185,0.747306641642237,1,-0.767847825663662,0.0611282805838783,34.0000147553582,FALSE
Q812A2,Srgap3,259302,Mutant-Control,0.0394090818142914,1.02769280437722,0.153071499544382,0.453547145535828,1,1.46145673546356,0.0269656164688249,34.0000819426278,FALSE
Q812A5,Prr5,109270,Mutant-Control,0.00110263467877747,1.00076458026137,0.992258242813623,0.997497720346615,1,0.00977461104554825,0.112805990298678,34.0000047438095,FALSE
Q812E0,Cpeb2,231207,Mutant-Control,0.0576816077229454,1.04079187715719,0.116811656829617,0.395358979222138,1,1.60923854108581,0.0358440381896556,33.9992220276733,FALSE
Q8BFP9,Pdk1,228026,Mutant-Control,0.0991899527302076,1.07117184996229,0.235895110176646,0.558841453630329,1,1.20665177897868,0.0822026324895178,34.0000034370939,FALSE
Q8BFQ4,Wdr82,77305,Mutant-Control,-0.00233990557296337,0.998379415616633,0.948159326082367,0.984645130948714,1,-0.0655002586677407,0.0357236081285247,34.0001316733212,FALSE
Q8BFQ8,Gatd1,213350,Mutant-Control,-0.0311171756383439,0.9786621602646,0.253441551152087,0.574588298256638,1,-1.16171588225894,0.0267855300194717,34.0000735059094,FALSE
Q8BFQ9,Klhl42,232539,Mutant-Control,-0.0558049346427167,0.962057524709448,0.442204375567878,0.743025357083026,1,-0.777562028830061,0.0717691098248229,34.0000127432174,FALSE
Q8BFR2,Fstl5,213262,Mutant-Control,0.19999484030271,1.14869424676555,0.156234557169219,0.456132462679858,1,1.44995232787608,0.137932010906639,34.0000035801116,FALSE
Q8BFR4,Gns,75612,Mutant-Control,0.203159602703365,1.15121684128873,9.21189164154747e-07,9.39064620554417e-05,0.0078881428126571,5.97747275200522,0.0339875414129178,33.9999919865291,FALSE
Q8BFR5,Tufm,233870,Mutant-Control,-0.0211585747352432,0.985441015615685,0.739110620081194,0.904660411628826,1,-0.335765928104326,0.0630158481377211,33.9999692223109,FALSE
Q8BFR6,Zfand1,66361,Mutant-Control,0.00786612513677021,1.00546727374977,0.866972914069118,0.95755050473028,1,0.168776003725543,0.0466068929417347,34.0000295141628,FALSE
Q8BFS6,Cpped1,223978,Mutant-Control,0.0296301801145269,1.02075043339862,0.55001885193787,0.814490253943956,1,0.603747378764665,0.0490771159539501,34.0000298346711,FALSE
Q8BFT9,Svop,68666,Mutant-Control,-0.0374096393518144,0.974402919291212,0.354549557244198,0.669942287955305,1,-0.938613705560005,0.0398562679515687,34.0000320720523,FALSE
Q8BFU3,Rnf214,235315,Mutant-Control,0.0204531544286883,1.01427801723925,0.233788479834629,0.555937448715337,1,1.21220975552101,0.016872619887387,34.001086820019,FALSE
Q8BFU8,Slc17a8,216227,Mutant-Control,-0.00797752559219056,0.994485660722177,0.847917456710227,0.951961955218524,1,-0.19427868727716,0.0410622786472186,20.0000301103221,FALSE
Q8BFV2,Pcid2,234069,Mutant-Control,-0.0330001999789546,0.977385630930635,0.393297487393836,0.703678726400631,1,-0.86463724427355,0.0381665261327954,34.0000117421445,FALSE
Q8BFW7,Lpp,210126,Mutant-Control,0.00742481051232957,1.00515975238216,0.894509062487858,0.967752393034514,1,0.138325207174104,0.0536764821395444,6.00000564344317,FALSE
Q8BFX1,Rnf187,108660,Mutant-Control,-0.251257096147087,0.840164017068758,0.187468654768204,0.500091617065461,1,-1.38779848890686,0.181047247244806,13.6299218960918,FALSE
Q8BFX3,Kctd3,226823,Mutant-Control,-0.00296590773036876,0.997946301150112,0.965347533511156,0.98973550400575,1,-0.0437652757316754,0.0677685146679462,34.0000143144087,FALSE
Q8BFY6,Pef1,67898,Mutant-Control,-0.0380695174593964,0.973957336468922,0.234692780521276,0.557468593510038,1,-1.20981974577412,0.031467098790851,34.0000803135133,FALSE
Q8BFY9,Tnpo1,238799,Mutant-Control,0.0476202040194202,1.03355861146145,0.0177020899465656,0.131013825594158,1,2.49290044960922,0.0191023287860873,34.0001733479729,FALSE
Q8BFZ2,Plppr1,272031,Mutant-Control,-0.0956983584609459,0.935819140298991,0.271557556456181,0.593613474517831,1,-1.11763668867338,0.0856256415262621,34.0000197959091,FALSE
Q8BFZ3,Actbl2,238880,Mutant-Control,-0.0250818837254738,0.982764817714231,0.867583751837653,0.958101582020354,1,-0.168210015576197,0.149110524956298,29.0491611260464,FALSE
Q8BFZ4,Fbxl21,213311,Mutant-Control,-0.0388173996101315,0.973452575227209,0.519915241664396,0.796651311610443,1,-0.650227190225607,0.0596982104003729,34.0000183022655,FALSE
Q8BFZ6,Gm9745,100039655,Mutant-Control,0.173594507253534,1.12786508820018,0.216519939132695,0.535469759528802,1,1.27616142190395,0.13602864361355,20.000002473647,FALSE
Q8BFZ9,Erlin2,244373,Mutant-Control,0.0662275032580268,1.04697536989785,0.0818868311955933,0.323691635467803,1,1.79291801111797,0.0369383891775011,34.0002762804903,FALSE
Q8BG02,Ppp2r2c,269643,Mutant-Control,0.129734629249808,1.09409243430812,0.150917366714141,0.450280631070798,1,1.46940024707539,0.0882908720806493,34.0000077575727,FALSE
Q8BG05,Hnrnpa3,229279,Mutant-Control,0.0706974136795866,1.05022425017855,0.0168603159129071,0.127539651203378,1,2.51340163965937,0.0281281799788942,34.0018999520825,FALSE
Q8BG07,Pld4,104759,Mutant-Control,-0.0283415793457911,0.980546817570461,0.669415642377691,0.87422672112136,1,-0.430684818467363,0.0658058471776357,34.0000165344297,FALSE
Q8BG16,Slc6a15,103098,Mutant-Control,-0.260996253813832,0.834511448093741,0.00145119581369168,0.0256747722162022,1,-3.46573266021154,0.0753076706724117,34.0000114470146,FALSE
Q8BG18,Necab1,69352,Mutant-Control,0.140403575998769,1.10221340324911,0.00201807808924925,0.0322403035041816,1,3.34460716261447,0.0419790932603922,34.0000399642329,FALSE
Q8BG19,Tmtc4,70551,Mutant-Control,-0.0686825068795161,0.953508360271577,0.452062306446822,0.751068981393895,1,-0.760729763089778,0.0902850265783678,34.0000068484506,FALSE
Q8BG30,Nelfa,24116,Mutant-Control,0.010074355613046,1.00700744926244,0.893150147052834,0.96698107756341,1,0.135328542121819,0.0744436868608059,33.999984267814,FALSE
Q8BG31,Vxn,76982,Mutant-Control,0.0332912171842468,1.02334401739606,0.402560758182822,0.712363664459497,1,0.847649935991923,0.0392747238814915,34.0001437209877,FALSE
