protein,contrast,log2FC,percentControl,Pvalue,Tstatistic,SE,DF,isSingular
C0HKD9,Mutant-Control,0.0750151368294816,1.05337208793019,0.52077984555913,0.648872621716552,0.115608417305439,34.0000026063963,FALSE
C0HKG6,Mutant-Control,0.0188827408851955,1.01317454818899,0.726746891386005,0.352354999467021,0.0535901034858535,34.0000225092207,FALSE
C8YR32,Mutant-Control,-0.154263428715618,0.898591033515903,0.00983340832055534,-2.73517097553565,0.0563999216485571,34.0000156079801,FALSE
D3YUB6,Mutant-Control,-0.100377580748369,0.93278883099834,0.0385302763197107,-2.2150104981092,0.0453169774292513,19.999977226061,FALSE
D3YV10,Mutant-Control,0.134886233076436,1.09800622465205,0.289072514520057,1.16277443013429,0.116003783348468,6.0000011212272,FALSE
D3YVE8,Mutant-Control,-0.102657804417552,0.931315694176348,0.0010588471652572,-3.58010311708085,0.0286745384309649,34.0000813497515,FALSE
D3YVF0,Mutant-Control,0.0478374394660373,1.03371425244249,0.186740558526939,1.34746932175511,0.0355016909800424,34.0000608534525,FALSE
D3YXK2,Mutant-Control,0.085708656877884,1.0612088828999,0.0360979835449181,2.18222317439014,0.0392758439575442,34.0005616114163,FALSE
D3YZG8,Mutant-Control,-0.178525875848708,0.883605389918694,0.126131980010585,-1.59616789303216,0.111846552375872,20.0000051349585,FALSE
D3YZI9,Mutant-Control,0.065372284123109,1.04635491442677,0.0539576216936949,1.99631802932946,0.0327464277548337,34.0000579510827,FALSE
D3YZP9,Mutant-Control,0.0506702579324641,1.0357460066205,0.136442781754832,1.52526274003485,0.0332206751023802,34.0000537671757,FALSE
D3YZU1,Mutant-Control,-0.152663250383944,0.899588266879994,0.000821929941034524,-3.67110708461952,0.0415850714416756,34.0000501519374,FALSE
D3YZV8,Mutant-Control,-0.102600554025327,0.931352652261869,0.645027200967091,-0.467739853845897,0.219353884818055,20.0000008188044,FALSE
D3Z1Q2,Mutant-Control,-0.0474872500918284,0.967620171508688,0.284315868970034,-1.10018988262055,0.043162776573366,20.0000279861425,FALSE
D3Z291,Mutant-Control,0.931770444796923,1.90761554566448,0.388035334812717,0.898751232874324,1.03673898929407,10.9999998043793,TRUE
D3Z4S3,Mutant-Control,0.0832794042341893,1.05942349151825,0.239827110985755,1.19637389410759,0.0696098474267609,34.0000136371249,FALSE
D3Z6Q9,Mutant-Control,0.096509478807608,1.06918350007272,0.290602186925998,1.07351088517852,0.0899007920087914,34.0000177770393,FALSE
D3Z7P3,Mutant-Control,0.00225003974943228,1.00156082553064,0.968116869235847,0.0402656358122016,0.0558799011625305,34.0001187771353,FALSE
E0CZ16,Mutant-Control,0.0962934564148785,1.06902341753257,0.0717762358705211,1.90124909636038,0.0506474699181797,20.0000267421338,FALSE
E1U8D0,Mutant-Control,0.0718211148606365,1.05104257831811,0.032444588586505,2.23015934193412,0.0322044768327402,34.0002375000037,FALSE
E9PUL5,Mutant-Control,-0.193801026213944,0.87429919379564,0.000562842404705138,-3.80582522872993,0.0509222086056271,33.9998623088567,FALSE
E9PV24,Mutant-Control,0.525069701522141,1.43900310148334,4.77165958210139e-09,7.77609009298985,0.0675236134410906,34.0000238975684,FALSE
E9PV86,Mutant-Control,0.0927481097367364,1.0663995743827,0.00394025085464955,3.09341093897704,0.0299824729291891,34.0001904361535,FALSE
E9PVA8,Mutant-Control,0.0202940514562506,1.01416616702501,0.217492429550278,1.25650021904964,0.0161512518251689,34.0276957186841,FALSE
E9PVB5,Mutant-Control,-0.017199273748683,0.988149152947427,0.911256871574329,-0.112872547336788,0.152377829281765,20.0000019852998,FALSE
E9PVD3,Mutant-Control,0.00309185715674154,1.00214541017697,0.962451618938034,0.0474254647380568,0.0651940297015258,34.0000151957863,FALSE
E9PVX6,Mutant-Control,0.0584649117462126,1.04135712331206,0.712470415999738,0.373821761992064,0.156397828298326,20.0000028310068,FALSE
E9PXF8,Mutant-Control,-0.0428848418924854,0.970711950378171,0.0528247131280403,-2.00636043584129,0.0213744455514562,34.0001524037155,FALSE
E9PY46,Mutant-Control,0.0575507441365941,1.04069747357449,0.124836398157205,1.57361808124682,0.0365722438134387,34.000025813509,FALSE
E9PYI1,Mutant-Control,0.206967122004652,1.15425911247171,0.304687045500975,1.2270554663186,0.168669736361301,3.10311162153083,FALSE
